epsilon;delta;mu;toivonen;toivonen_fi_size;toivonen_threshold;d-bound;d-bound_fi_size;common_size;common_precent;milliseconds
0.009999999999999998;0.009999999999999998;0.009999999999999998;26491.0;653.6;246.0;1272103.0;652.1;499.4;76.47780385355519;10719.84429359436
0.009999999999999998;0.009999999999999998;0.049999999999999996;26491.0;668.5;199.0;1272103.0;652.0;541.6;82.12540118684483;11364.2019033432
0.009999999999999998;0.009999999999999998;0.09999999999999999;26491.0;660.6;174.0;1272103.0;651.9;521.9;79.54094879000283;11231.386423110962
0.009999999999999998;0.049999999999999996;0.009999999999999998;18444.0;666.9;206.0;1239914.0;652.0;502.1;76.18083364633594;10678.56605052948
0.009999999999999998;0.049999999999999996;0.049999999999999996;18444.0;647.7;166.0;1239914.0;653.1;523.8;80.55819912650662;10370.400786399841
0.009999999999999998;0.049999999999999996;0.09999999999999999;18444.0;658.3;145.0;1239914.0;653.1;528.6;80.63870803249736;10343.88632774353
0.009999999999999998;0.09999999999999999;0.009999999999999998;14978.0;653.0;185.0;1226051.0;652.1;511.7;78.49368019413104;10230.442643165588
0.009999999999999998;0.09999999999999999;0.049999999999999996;14978.0;663.9;149.0;1226051.0;653.1;514.9;78.14645384214697;10215.384531021118
0.009999999999999998;0.09999999999999999;0.09999999999999999;14978.0;665.8;131.0;1226051.0;652.3;493.0;74.86254612248635;10272.024774551392
0.015000000000000003;0.009999999999999998;0.009999999999999998;11774.0;683.5;164.0;565379.0;652.4;482.2;72.40817525925299;4677.397727966309
0.015000000000000003;0.009999999999999998;0.049999999999999996;11774.0;659.7;132.0;565379.0;652.2;481.0;73.49059414707021;4726.596617698669
0.015000000000000003;0.009999999999999998;0.09999999999999999;11774.0;664.7;116.0;565379.0;652.5;499.0;75.88022068391078;4676.827239990234
0.015000000000000003;0.049999999999999996;0.009999999999999998;8197.0;660.1;137.0;551073.0;652.5;462.9;70.56197347439672;4569.320797920227
0.015000000000000003;0.049999999999999996;0.049999999999999996;8197.0;673.1;110.0;551073.0;652.0;477.4;72.09435029960714;4520.7008600234985
0.015000000000000003;0.049999999999999996;0.09999999999999999;8197.0;657.9;97.0;551073.0;651.9;485.5;74.11498083250618;4530.509352684021
0.015000000000000003;0.09999999999999999;0.009999999999999998;6657.0;695.7;123.0;544911.0;653.9;468.4;69.59243489217228;4285.337257385254
0.015000000000000003;0.09999999999999999;0.049999999999999996;6657.0;668.2;99.0;544911.0;652.0;452.4;68.77011118589826;4649.628901481628
0.015000000000000003;0.09999999999999999;0.09999999999999999;6657.0;676.0;87.0;544911.0;653.6;429.7;64.59133583899265;4456.404614448547
0.019999999999999997;0.009999999999999998;0.009999999999999998;6622.0;673.3;123.0;318025.0;653.3;451.9;68.08537597196349;2629.2815923690796
0.019999999999999997;0.009999999999999998;0.049999999999999996;6622.0;653.4;99.0;318025.0;652.3;471.9;72.18514038103487;2634.7954750061035
0.019999999999999997;0.009999999999999998;0.09999999999999999;6622.0;657.7;87.0;318025.0;653.8;497.4;75.93484858266169;2716.11168384552
0.019999999999999997;0.049999999999999996;0.009999999999999998;4611.0;645.3;103.0;309978.0;652.5;434.6;67.09005780596992;2458.8901042938232
0.019999999999999997;0.049999999999999996;0.049999999999999996;4611.0;663.2;83.0;309978.0;656.3;394.8;59.911893294520624;2342.5811290740967
0.019999999999999997;0.049999999999999996;0.09999999999999999;4611.0;686.5;72.0;309978.0;653.8;464.7;69.45559753802317;2320.3566312789917
0.019999999999999997;0.09999999999999999;0.009999999999999998;3744.0;671.0;92.0;306512.0;652.4;454.9;68.93825797066313;2634.2439889907837
0.019999999999999997;0.09999999999999999;0.049999999999999996;3744.0;711.3;74.0;306512.0;651.7;436.5;64.51405357269998;2300.836658477783
0.019999999999999997;0.09999999999999999;0.09999999999999999;3744.0;666.8;65.0;306512.0;653.5;447.0;67.8406005345992;2320.1943397521973
0.024999999999999998;0.009999999999999998;0.009999999999999998;4238.0;662.5;98.0;203536.0;653.3;425.9;64.98541060783378;1440.5448913574219
0.024999999999999998;0.009999999999999998;0.049999999999999996;4238.0;672.3;79.0;203536.0;654.5;471.5;71.18255156842932;1511.4032745361328
0.024999999999999998;0.009999999999999998;0.09999999999999999;4238.0;649.3;69.0;203536.0;654.2;457.7;70.45945511137721;1453.17862033844
0.024999999999999998;0.049999999999999996;0.009999999999999998;2951.0;656.4;82.0;198386.0;652.6;361.7;55.41176610437717;1397.7462768554688
0.024999999999999998;0.049999999999999996;0.049999999999999996;2951.0;666.5;66.0;198386.0;653.6;401.3;61.21557002967113;1375.1313209533691
0.024999999999999998;0.049999999999999996;0.09999999999999999;2951.0;735.8;58.0;198386.0;656.2;412.0;59.52745619890161;1508.7707042694092
0.024999999999999998;0.09999999999999999;0.009999999999999998;2396.0;674.4;74.0;196168.0;651.2;369.5;56.09768078390518;1704.112458229065
0.024999999999999998;0.09999999999999999;0.049999999999999996;2396.0;686.5;59.0;196168.0;652.1;379.6;56.858666868292026;1386.920666694641
0.024999999999999998;0.09999999999999999;0.09999999999999999;2396.0;668.8;52.0;196168.0;655.1;414.6;62.71063998291987;1500.4411458969116
